variable,value,label,meta
P44E,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44E,97,Las 24 horas,NA
P44E,98,Cualquier momento,NA
P44E,99,No se conecta,NA
P44F,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44F,97,Las 24 horas,NA
P44F,98,Cualquier momento,NA
P44F,99,No se conecta,NA
P44G,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44G,97,Las 24 horas,NA
P44G,98,Cualquier momento,NA
P44G,99,No se conecta,NA
P44J,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44J,97,Las 24 horas,NA
P44J,98,Cualquier momento,NA
P44J,99,No se conecta,NA
P44H,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44H,97,Las 24 horas,NA
P44H,98,Cualquier momento,NA
P44H,99,No se conecta,NA
P44I,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44I,97,Las 24 horas,NA
P44I,98,Cualquier momento,NA
P44I,99,No se conecta,NA
P44K,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44K,99,No se conecta,NA
P44L,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44L,99,No se conecta,NA
P44M,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44M,99,No se conecta,NA
P44N,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44N,99,No se conecta,NA
P44O,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44O,99,No se conecta,NA
P44P,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44P,99,No se conecta,NA
P44Q,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44Q,99,No se conecta,NA
P44R,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44R,99,No se conecta,NA
P44S,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44S,99,No se conecta,NA
P44T,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44T,99,No se conecta,NA
P44U,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44U,99,No se conecta,NA
P44V,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44V,99,No se conecta,NA
P44W,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44W,99,No se conecta,NA
P44X,NA,"44. ¿De lunes a viernes, en qué horarios se conecta a Internet?",varlab
P44X,99,No se conecta,NA
P45A,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45A,97,Las 24 horas,NA
P45A,98,Cualquier momento,NA
P45A,99,No se conecta,NA
P45B,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45B,99,No se conecta,NA
P45C,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45C,99,No se conecta,NA
P45D,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45D,99,No se conecta,NA
P45E,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45E,99,No se conecta,NA
P45F,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45F,99,No se conecta,NA
P45G,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45G,99,No se conecta,NA
P45H,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45H,99,No se conecta,NA
P45I,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45I,99,No se conecta,NA
P45J,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45J,99,No se conecta,NA
P45K,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45K,99,No se conecta,NA
P45L,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45L,99,No se conecta,NA
P45M,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45M,99,No se conecta,NA
P45N,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45N,99,No se conecta,NA
P45O,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45O,99,No se conecta,NA
P45P,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45P,99,No se conecta,NA
P45Q,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45Q,99,No se conecta,NA
P45R,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45R,99,No se conecta,NA
P45S,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45S,99,No se conecta,NA
P45T,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45T,99,No se conecta,NA
P45U,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45U,99,No se conecta,NA
P45V,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45V,99,No se conecta,NA
P45W,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45W,99,No se conecta,NA
P45X,NA,"45. ¿Los fines de semana, en qué horarios se conecta a Internet?",varlab
P45X,99,No se conecta,NA
P46A,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46A,1,Contactar amigos o familiares,NA
P46A,2,Buscar información,NA
P46A,3,Compras en Internet,NA
P46A,4,Fines académicos,NA
P46A,5,Trabajo,NA
P46A,6,Ver noticias,NA
P46A,7,Descargar archivos,NA
P46A,8,Jugar,NA
P46A,9,Escuchar música o ver videos,NA
P46A,10,Redes sociales,NA
P46A,11,Correo electrónico,NA
P46A,12,Otro,NA
P46B,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46B,1,Contactar amigos o familiares,NA
P46B,2,Buscar información,NA
P46B,3,Compras en Internet,NA
P46B,4,Fines académicos,NA
P46B,5,Trabajo,NA
P46B,6,Ver noticias,NA
P46B,7,Descargar archivos,NA
P46B,8,Jugar,NA
P46B,9,Escuchar música o ver videos,NA
P46B,10,Redes sociales,NA
P46B,11,Correo electrónico,NA
P46B,12,Otro,NA
P46C,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46C,1,Contactar amigos o familiares,NA
P46C,2,Buscar información,NA
P46C,3,Compras en Internet,NA
P46C,4,Fines académicos,NA
P46C,5,Trabajo,NA
P46C,6,Ver noticias,NA
P46C,7,Descargar archivos,NA
P46C,8,Jugar,NA
P46C,9,Escuchar música o ver videos,NA
P46C,10,Redes sociales,NA
P46C,11,Correo electrónico,NA
P46C,12,Otro,NA
P46E,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46E,1,Contactar amigos o familiares,NA
P46E,2,Buscar información,NA
P46E,3,Compras en Internet,NA
P46E,4,Fines académicos,NA
P46E,5,Trabajo,NA
P46E,6,Ver noticias,NA
P46E,7,Descargar archivos,NA
P46E,8,Jugar,NA
P46E,9,Escuchar música o ver videos,NA
P46E,10,Redes sociales,NA
P46E,11,Correo electrónico,NA
P46E,12,Otro,NA
P46F,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46F,1,Contactar amigos o familiares,NA
P46F,2,Buscar información,NA
P46F,3,Compras en Internet,NA
P46F,4,Fines académicos,NA
P46F,5,Trabajo,NA
P46F,6,Ver noticias,NA
P46F,7,Descargar archivos,NA
P46F,8,Jugar,NA
P46F,9,Escuchar música o ver videos,NA
P46F,10,Redes sociales,NA
P46F,11,Correo electrónico,NA
P46F,12,Otro,NA
P46G,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46G,1,Contactar amigos o familiares,NA
P46G,2,Buscar información,NA
P46G,3,Compras en Internet,NA
P46G,4,Fines académicos,NA
P46G,5,Trabajo,NA
P46G,6,Ver noticias,NA
P46G,7,Descargar archivos,NA
P46G,8,Jugar,NA
P46G,9,Escuchar música o ver videos,NA
P46G,10,Redes sociales,NA
P46G,11,Correo electrónico,NA
P46G,12,Otro,NA
P46H,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46H,1,Contactar amigos o familiares,NA
P46H,2,Buscar información,NA
P46H,3,Compras en Internet,NA
P46H,4,Fines académicos,NA
P46H,5,Trabajo,NA
P46H,6,Ver noticias,NA
P46H,7,Descargar archivos,NA
P46H,8,Jugar,NA
P46H,9,Escuchar música o ver videos,NA
P46H,10,Redes sociales,NA
P46H,11,Correo electrónico,NA
P46H,12,Otro,NA
P46I,NA,46. ¿Cuáles de las siguientes actividades realiza con más frecuencia en el Internet?,varlab
P46I,1,Contactar amigos o familiares,NA
P46I,2,Buscar información,NA
P46I,3,Compras en Internet,NA
P46I,4,Fines académicos,NA
P46I,5,Trabajo,NA
P46I,6,Ver noticias,NA
P46I,7,Descargar archivos,NA
P46I,8,Jugar,NA
P46I,9,Escuchar música o ver videos,NA
P46I,10,Redes sociales,NA
P46I,11,Correo electrónico,NA
P46I,12,Otro,NA
P46D,NA,46. Otro,varlab
P47A,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47A,1,"Noticias (periódicos, etc.)",NA
P47A,2,Oferta de bienes o servicios,NA
P47A,3,Oportunidades laborales,NA
P47A,4,Servicios de salud,NA
P47A,5,Ciencia y/o tecnología,NA
P47A,6,Servicios del gobierno,NA
P47A,7,Entretenimiento/farándula,NA
P47A,8,Turismo,NA
P47A,9,Educativa,NA
P47A,10,Negocios,NA
P47A,11,Política,NA
P47A,12,Arte y cultura,NA
P47A,13,Otro,NA
P47B,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47B,1,"Noticias (periódicos, etc.)",NA
P47B,2,Oferta de bienes o servicios,NA
P47B,3,Oportunidades laborales,NA
P47B,4,Servicios de salud,NA
P47B,5,Ciencia y/o tecnología,NA
P47B,6,Servicios del gobierno,NA
P47B,7,Entretenimiento/farándula,NA
P47B,8,Turismo,NA
P47B,9,Educativa,NA
P47B,10,Negocios,NA
P47B,11,Política,NA
P47B,12,Arte y cultura,NA
P47B,13,Otro,NA
P47C,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47C,1,"Noticias (periódicos, etc.)",NA
P47C,2,Oferta de bienes o servicios,NA
P47C,3,Oportunidades laborales,NA
P47C,4,Servicios de salud,NA
P47C,5,Ciencia y/o tecnología,NA
P47C,6,Servicios del gobierno,NA
P47C,7,Entretenimiento/farándula,NA
P47C,8,Turismo,NA
P47C,9,Educativa,NA
P47C,10,Negocios,NA
P47C,11,Política,NA
P47C,12,Arte y cultura,NA
P47C,13,Otro,NA
P47D,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47D,1,"Noticias (periódicos, etc.)",NA
P47D,2,Oferta de bienes o servicios,NA
P47D,3,Oportunidades laborales,NA
P47D,4,Servicios de salud,NA
P47D,5,Ciencia y/o tecnología,NA
P47D,6,Servicios del gobierno,NA
P47D,7,Entretenimiento/farándula,NA
P47D,8,Turismo,NA
P47D,9,Educativa,NA
P47D,10,Negocios,NA
P47D,11,Política,NA
P47D,12,Arte y cultura,NA
P47D,13,Otro,NA
P47E,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47E,1,"Noticias (periódicos, etc.)",NA
P47E,2,Oferta de bienes o servicios,NA
P47E,3,Oportunidades laborales,NA
P47E,4,Servicios de salud,NA
P47E,5,Ciencia y/o tecnología,NA
P47E,6,Servicios del gobierno,NA
P47E,7,Entretenimiento/farándula,NA
P47E,8,Turismo,NA
P47E,9,Educativa,NA
P47E,10,Negocios,NA
P47E,11,Política,NA
P47E,12,Arte y cultura,NA
P47E,13,Otro,NA
P47G,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47G,1,"Noticias (periódicos, etc.)",NA
P47G,2,Oferta de bienes o servicios,NA
P47G,3,Oportunidades laborales,NA
P47G,4,Servicios de salud,NA
P47G,5,Ciencia y/o tecnología,NA
P47G,6,Servicios del gobierno,NA
P47G,7,Entretenimiento/farándula,NA
P47G,8,Turismo,NA
P47G,9,Educativa,NA
P47G,10,Negocios,NA
P47G,11,Política,NA
P47G,12,Arte y cultura,NA
P47G,13,Otro,NA
P47H,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47H,1,"Noticias (periódicos, etc.)",NA
P47H,2,Oferta de bienes o servicios,NA
P47H,3,Oportunidades laborales,NA
P47H,4,Servicios de salud,NA
P47H,5,Ciencia y/o tecnología,NA
P47H,6,Servicios del gobierno,NA
P47H,7,Entretenimiento/farándula,NA
P47H,8,Turismo,NA
P47H,9,Educativa,NA
P47H,10,Negocios,NA
P47H,11,Política,NA
P47H,12,Arte y cultura,NA
P47H,13,Otro,NA
P47I,NA,47. ¿Qué tipo de información busca en Internet?,varlab
P47I,1,"Noticias (periódicos, etc.)",NA
P47I,2,Oferta de bienes o servicios,NA
P47I,3,Oportunidades laborales,NA
P47I,4,Servicios de salud,NA
P47I,5,Ciencia y/o tecnología,NA
P47I,6,Servicios del gobierno,NA
P47I,7,Entretenimiento/farándula,NA
P47I,8,Turismo,NA
P47I,9,Educativa,NA
P47I,10,Negocios,NA
P47I,11,Política,NA
P47I,12,Arte y cultura,NA
P47I,13,Otro,NA
P47F,NA,47. Otro,varlab
P48A,NA,48. ¿Cuáles son las tres páginas web nacionales que más visita?,varlab
P48B,NA,48. ¿Cuáles son las tres páginas web nacionales que más visita?,varlab
P48C,NA,48. ¿Cuáles son las tres páginas web nacionales que más visita?,varlab
P49A,NA,49. ¿Cuáles son las tres páginas web internacionales que más visita?,varlab
P49B,NA,49. ¿Cuáles son las tres páginas web internacionales que más visita?,varlab
P49C,NA,49. ¿Cuáles son las tres páginas web internacionales que más visita?,varlab
P50,NA,50. Recabar información o requisitos/formularios sobre trámites en el sector público,varlab
P50,1,Si,NA
P50,2,No,NA
P50,9,NS/NR,NA
P51,NA,51. Completar y enviar formularios de trámites en el sector público,varlab
P51,1,Si,NA
P51,2,No,NA
P51,9,NS/NR,NA
P52,NA,"52. Realizar sugerencias, consultas, solicitudes o reclamos a organismos del Estado",varlab
P52,1,Si,NA
P52,2,No,NA
P52,9,NS/NR,NA
P53,NA,53. Buscar información sobre las entidades del Estado,varlab
P53,1,Si,NA
P53,2,No,NA
P53,9,NS/NR,NA
P54,NA,54. Realizar trámites completamente a través de Internet,varlab
P54,1,Si,NA
P54,2,No,NA
P54,9,NS/NR,NA
P55A,NA,"55. En su criterio, ¿Cuál de las siguientes características es la más importante en la realización de trámites en instituciones públicas?",varlab
P55A,1,Claridad de la información,NA
P55A,2,Privacidad,NA
P55A,3,Trato cordial,NA
P55A,4,Rapidez,NA
P55A,5,Cantidad de requisitos,NA
P55A,6,Otro,NA
P55A,9,NS/NR,NA
P55B,NA,55. Otro,varlab
P56,NA,56. La realización de trámites en las instituciones públicas?,varlab
P56,9,NS/NR,NA
P57,NA,57. Los servicios que presta el Estado a través de Internet?,varlab
P57,9,NS/NR,NA
P58A,NA,58. Del Gobierno Nacional,varlab
P58A,1,Si,NA
P58A,2,No,NA
P58A,9,NS/NR,NA
P58B,NA,58. ¿Usualmente realiza trámites en estas páginas web?,varlab
P58B,1,Si,NA
P58B,2,No,NA
P58B,9,NS/NR,NA
P59A,NA,59. Del Gobierno Municipal,varlab
P59A,1,Si,NA
P59A,2,No,NA
P59A,9,NS/NR,NA
P59B,NA,59. ¿Usualmente realiza trámites en estas páginas web?,varlab
P59B,1,Si,NA
P59B,2,No,NA
P59B,9,NS/NR,NA
P60A,NA,60. De la Gobernación (Prefectura),varlab
P60A,1,Si,NA
P60A,2,No,NA
P60A,9,NS/NR,NA
P60B,NA,60. ¿Usualmente realiza trámites en estas páginas web?,varlab
P60B,1,Si,NA
P60B,2,No,NA
P60B,9,NS/NR,NA
P61A,NA,61. Del Poder Judicial,varlab
P61A,1,Si,NA
P61A,2,No,NA
P61A,9,NS/NR,NA
P60C,NA,61. ¿Usualmente realiza trámites en estas páginas web?,varlab
P60C,1,Si,NA
P60C,2,No,NA
P60C,9,NS/NR,NA
P62A,NA,62. Del Tribunal Supremo Electoral,varlab
P62A,1,Si,NA
P62A,2,No,NA
P62A,9,NS/NR,NA
P62B,NA,62. ¿Usualmente realiza trámites en estas páginas web?,varlab
P62B,1,Si,NA
P62B,2,No,NA
P62B,9,NS/NR,NA
P63A,NA,63. De las Universidades,varlab
P63A,1,Si,NA
P63A,2,No,NA
P63A,9,NS/NR,NA
P63B,NA,63. ¿Usualmente realiza trámites en estas páginas web?,varlab
P63B,1,Si,NA
P63B,2,No,NA
P63B,9,NS/NR,NA
P64A,NA,"64. ¿Según su opinión, qué información de las instituciones públicas debería estar disponible en Internet en primer lugar?",varlab
P64A,1,Datos estadísticos,NA
P64A,2,Informaci?n general sobre la institución y su organización interna,NA
P64A,3,Actividades y proyectos de la institución,NA
P64A,4,"Libros, memorias, boletines y otras publicaciones",NA
P64A,5,Requerimiento de personal,NA
P64A,6,Compras y contrataciones,NA
P64A,7,Tr?mites y requisitos,NA
P64A,8,Auditoría interna,NA
P64A,9,Información sobre las actividades de las autoridades,NA
P64A,11,Normativas que rigen las funciones de la entidad,NA
P64A,12,Otro,NA
P64A,99,NS/NR,NA
P64B,NA,"64. ¿Según su opinión, qué información de las instituciones públicas debería estar disponible en Internet en en segundo lugar?",varlab
P64B,1,Datos estadísticos,NA
P64B,2,Informaci?n general sobre la institución y su organización interna,NA
P64B,3,Actividades y proyectos de la institución,NA
P64B,4,"Libros, memorias, boletines y otras publicaciones",NA
P64B,5,Requerimiento de personal,NA
P64B,6,Compras y contrataciones,NA
P64B,7,Tr?mites y requisitos,NA
P64B,8,Auditoría interna,NA
P64B,9,Información sobre las actividades de las autoridades,NA
P64B,11,Normativas que rigen las funciones de la entidad,NA
P64B,12,Otro,NA
P64B,99,NS/NR,NA
P64C,NA,"64. ¿Según su opinión, qué información de las instituciones públicas debería estar disponible en Internet en tercer lugar?",varlab
P64C,1,Datos estadísticos,NA
P64C,2,Informaci?n general sobre la institución y su organización interna,NA
P64C,3,Actividades y proyectos de la institución,NA
P64C,4,"Libros, memorias, boletines y otras publicaciones",NA
P64C,5,Requerimiento de personal,NA
P64C,6,Compras y contrataciones,NA
P64C,7,Tr?mites y requisitos,NA
P64C,8,Auditoría interna,NA
P64C,9,Información sobre las actividades de las autoridades,NA
P64C,11,Normativas que rigen las funciones de la entidad,NA
P64C,12,Otro,NA
P64C,99,NS/NR,NA
P64D,NA,"64. ¿Según su opinión, qué información de las instituciones públicas debería estar disponible en Internet en cuarto lugar?",varlab
P64D,1,Datos estadísticos,NA
P64D,2,Informaci?n general sobre la institución y su organización interna,NA
P64D,3,Actividades y proyectos de la institución,NA
P64D,4,"Libros, memorias, boletines y otras publicaciones",NA
P64D,5,Requerimiento de personal,NA
P64D,6,Compras y contrataciones,NA
P64D,7,Tr?mites y requisitos,NA
P64D,8,Auditoría interna,NA
P64D,9,Información sobre las actividades de las autoridades,NA
P64D,11,Normativas que rigen las funciones de la entidad,NA
P64D,12,Otro,NA
P64D,99,NS/NR,NA
P64E,NA,64. Otro,varlab
P65,NA,65. ¿Qué trámite con entidades públicas le gustaría poder realizar a través de Internet?,varlab
P66,NA,66. ¿Sigue a alguna institución pública a través de sus cuentas de Facebook o Twitter?,varlab
P66,1,Sí,NA
P66,2,No,NA
P67A1,NA,67. ¿A qué institución sigue?,varlab
P67A2,NA,"67. Del 1 al 5, donde 1 es pésimo y 5 es excelente",varlab
P67B1,NA,67. ¿A qué institución sigue?,varlab
P67B2,NA,"67. Del 1 al 5, donde 1 es pésimo y 5 es excelente",varlab
P67C1,NA,67. ¿A qué institución sigue?,varlab
P67C2,NA,"67. Del 1 al 5, donde 1 es pésimo y 5 es excelente",varlab
P68,NA,68. ¿Utiliza o utiliza Internet en?,varlab
P68,1,El Colegio,NA
P68,2,La Universidad,NA
P68,3,No usa/no usó,NA
P69,NA,"69. ¿Ha realizado algún curso, diplomado o maestría por Internet?",varlab
P69,1,Si,NA
P69,2,No,NA
P70,NA,"70. Del 1 al 5, donde 1 es pésimo y 5 es excelente ¿qué puntaje le daría a la experiencia de aprendizaje del curso, diplomado o maestría por Internet?",varlab
P71,NA,"71. ¿Usted preferiría realizar un curso, diplomado o maestráa por Internet, o de manera presencial?",varlab
P71,1,En línea,NA
P71,2,Presencial,NA
P72A,NA,72. ¿Por qué?,varlab
P72A,1,Es más cómodo,NA
P72A,2,Permite profundizar en la materia,NA
P72A,3,Se acomoda a mis horarios,NA
P72A,4,Tiene mayor validez,NA
P72A,5,Me ahorra tiempo,NA
P72A,6,Se aprende mejor,NA
P72A,7,Otro,NA
P72A,8,NS/NR,NA
P72B,NA,72. ¿Por qué?,varlab
P72B,1,Es más cómodo,NA
P72B,2,Permite profundizar en la materia,NA
P72B,3,Se acomoda a mis horarios,NA
P72B,4,Tiene mayor validez,NA
P72B,5,Me ahorra tiempo,NA
P72B,6,Se aprende mejor,NA
P72B,7,Otro,NA
P72B,8,NS/NR,NA
P72C,NA,72. ¿Por qué?,varlab
P72C,1,Es más cómodo,NA
P72C,2,Permite profundizar en la materia,NA
P72C,3,Se acomoda a mis horarios,NA
P72C,4,Tiene mayor validez,NA
P72C,5,Me ahorra tiempo,NA
P72C,6,Se aprende mejor,NA
P72C,7,Otro,NA
P72C,8,NS/NR,NA
P72E,NA,72. ¿Por qué?,varlab
P72E,1,Es más cómodo,NA
P72E,2,Permite profundizar en la materia,NA
P72E,3,Se acomoda a mis horarios,NA
P72E,4,Tiene mayor validez,NA
P72E,5,Me ahorra tiempo,NA
P72E,6,Se aprende mejor,NA
P72E,7,Otro,NA
P72E,8,NS/NR,NA
P72F,NA,72. ¿Por qué?,varlab
P72F,1,Es más cómodo,NA
P72F,2,Permite profundizar en la materia,NA
P72F,3,Se acomoda a mis horarios,NA
P72F,4,Tiene mayor validez,NA
P72F,5,Me ahorra tiempo,NA
P72F,6,Se aprende mejor,NA
P72F,7,Otro,NA
P72F,8,NS/NR,NA
P72D,NA,72. Otro,varlab
P73,NA,73. ¿Trabaja o ha trabajado alguna vez?,varlab
P73,1,Si,NA
P73,2,No,NA
P74A,NA,"74. ¿Usted diría que utiliza/utilizó el Internet para su actividad económica o laboral, mucho, más o menos,  muy poco?",varlab
P74A,1,Mucho,NA
P74A,2,Más o menos,NA
P74A,3,Muy poco,NA
P74A,4,No usa,NA
P74A,5,Otro,NA
P74B,NA,74. Otro,varlab
P75,NA,75. ¿Realiza/realizó algún trabajo o negocio gracias a contactos...?,varlab
P75,1,Si,NA
P75,2,No,NA
P76,NA,76. ¿Su actividad laboral o negocio está vinculado a las tecnologías...,varlab
P76,1,Si,NA
P76,2,No,NA
P77,NA,77. ¿Ha realizado alguna compra a través de Internet?,varlab
P77,1,Si,NA
P77,2,No,NA
P78A,NA,78. ¿Por qué no compré por Internet?,varlab
P78A,1,No poseo una tarjeta de débito o crédito,NA
P78A,2,No confío en las ofertas en Internet,NA
P78A,3,El costo del transporte y/o impuestos son altos,NA
P78A,4,No existen suficientes ofertas en/para Bolivia,NA
P78A,5,Pago elevado de comisiones,NA
P78A,6,Otro,NA
P78A,9,NS/NR,NA
P78B,NA,78. ¿Por qué no compré por Internet?,varlab
P78B,1,No poseo una tarjeta de débito o crédito,NA
P78B,2,No confío en las ofertas en Internet,NA
P78B,3,El costo del transporte y/o impuestos son altos,NA
P78B,4,No existen suficientes ofertas en/para Bolivia,NA
P78B,5,Pago elevado de comisiones,NA
P78B,6,Otro,NA
P78B,9,NS/NR,NA
P78C,NA,78. ¿Por qué no compré por Internet?,varlab
P78C,1,No poseo una tarjeta de débito o crédito,NA
P78C,2,No confío en las ofertas en Internet,NA
P78C,3,El costo del transporte y/o impuestos son altos,NA
P78C,4,No existen suficientes ofertas en/para Bolivia,NA
P78C,5,Pago elevado de comisiones,NA
P78C,6,Otro,NA
P78C,9,NS/NR,NA
P78D,NA,78. Otro,varlab
